mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.376412343978882,1.0627429870725655,3.8199705123901366,0.6155885560909861,True,,,,2,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6790352504638218,0.6388888888888888,0.6691312384473198,0.653211009174312,0.6404715127701375,0.656147579948896,0.015777489006907033,86
8.503459692001343,0.1589035906617331,0.9402060508728027,0.19209969141631394,True,,,,2,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6789667896678967,0.6428571428571429,0.660482374768089,0.6617647058823529,0.6417322834645669,0.6571606593280096,0.013786687229030644,83
4.884296560287476,0.8980915426853293,1.6171541213989258,1.3760355467624084,True,,10,sqrt,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6418219461697723,0.5636363636363636,0.6056644880174292,0.6289308176100629,0.6017699115044248,0.6083647053876106,0.026809546690409827,128
4.0959930419921875,1.3140984131893312,0.2930150985717773,0.13433367975562435,True,,10,sqrt,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6431535269709544,0.57847533632287,0.5895196506550219,0.6199575371549894,0.579185520361991,0.6020583142931654,0.025478376408577773,134
1.2200133323669433,0.2057610694567896,0.3140854835510254,0.10164529504971094,True,,10,sqrt,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6304801670146137,0.5714285714285714,0.6060606060606061,0.638477801268499,0.5701357466063348,0.603316578475725,0.02863394633983859,131
2.2358612537384035,0.14068323494608237,0.3409391403198242,0.09118024094570154,True,,10,sqrt,1,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6431535269709544,0.5887640449438202,0.5995623632385121,0.6302521008403361,0.5707865168539326,0.606503710569511,0.026630024592222853,129
1.5650482654571534,0.17983013399218495,0.327294921875,0.12862006582345195,True,,10,sqrt,2,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.638477801268499,0.5688487584650113,0.6008771929824561,0.6276150627615062,0.579185520361991,0.6030008671678927,0.026842200886976895,132
2.4877456188201905,0.16841488190314757,0.5553853511810303,0.16785237372606057,True,,10,sqrt,2,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.6369426751592356,0.5714285714285714,0.6017316017316018,0.6257928118393234,0.5778781038374717,0.6027547527992408,0.025693541369650623,133
1.462680721282959,0.2014105149682427,0.419992733001709,0.178874585108979,True,,10,sqrt,2,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.610752688172043,0.5861297539149888,0.6004415011037527,0.6361746361746362,0.5720823798627003,0.6011161918456243,0.021863061761451662,135
2.4693355560302734,0.12298989286942348,0.5412729740142822,0.2530656495409307,True,,10,sqrt,2,5,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400, 'random_state': 42}",0.6329113924050633,0.5842696629213483,0.5955555555555555,0.6167023554603854,0.5727272727272728,0.6004332478139249,0.02178158926040105,136
1.4136565685272218,0.1742547558935659,0.21056017875671387,0.18704892749857063,True,,10,log2,1,2,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.5497630331753555,0.48514851485148514,0.5238095238095238,0.5674418604651162,0.5169082125603864,0.5286142289723734,0.028299262190137446,140
2.345110273361206,0.09128486716588938,0.31104264259338377,0.02619483311227935,True,,10,log2,1,2,400,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'random_state': 42}",0.5415676959619953,0.4634760705289673,0.5298329355608592,0.5707656612529002,0.5250596658711217,0.5261404058351686,0.03513128632933355,141
1.563465690612793,0.09761492276536186,0.18706650733947755,0.044346460104843465,True,,10,log2,1,5,200,42,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.5727482678983834,0.4375,0.5463182897862233,0.5794392523364486,0.5145631067961165,0.5301137833634343,0.05163801622828918,138
